cik,company,fyear,period,filing_date,accession,form,listed,in_sample,coregistrant_copy,n_item1a_sentences,risk_section_length,risk_section_length_ln,n_titles,secrets,readability,cyber_risk,cyber_risk_jaccard,n_train,crd_sentences,crd_sentences_ratio,negative_words,precise_words,litigious_words,negative_words_raw,precise_words_strong_modal,litigious_words_raw,mentions_insurance,cyber_insurance,cyber_insurance_partial,n_words,n_words_adj,sic,ff12
715957,DOMINION RESOURCES INC /VA/,2006,20061231,2007-02-28,0001193125-07-042607,10-K,True,False,False,107.0,107.0,4.68213122712422,13.0,0.0,3016481.0,0.0,0.0,3,0,0.0,,,,,,,0,0,0,0,0,4911,Utils
710507,"FIRST BANKS, INC",2006,20061231,2007-03-28,0001085204-07-000027,10-K,True,False,False,51.0,51.0,3.9512437185814275,0.0,0.0,1626237.0,0.0,0.0,3,0,0.0,,,,,,,0,0,0,0,0,6022,Money
1144354,HEARTLAND PAYMENT SYSTEMS INC,2006,20061231,2007-03-09,0001193125-07-050818,10-K,True,False,False,238.0,226.0,5.424950017481403,32.0,0.0,1742825.0,0.25244528308248787,0.13370695839311333,3,12,0.05042016806722689,0.24817518248175183,-0.0,0.051094890510948905,0.13765182186234817,0.0,0.02834008097165992,0,0,0,247,137,7389,Other
19617,J P MORGAN CHASE & CO,2006,20061231,2007-03-01,0000950123-07-003015,10-K,True,False,False,106.0,102.0,4.634728988229636,19.0,0.0,,0.17218532430821068,0.11290705800139762,3,4,0.03773584905660377,0.15730337078651685,-0.011235955056179775,0.011235955056179775,0.08383233532934131,0.0,0.005988023952095809,1,1,0,167,89,6021,Money
71691,NEW YORK TIMES CO,2006,20061231,2007-03-01,0001104659-07-015629,10-K,True,False,False,132.0,132.0,4.890349128221754,19.0,1.0,3710163.0,0.0,0.0,3,0,0.0,,,,,,,0,0,0,0,0,2711,NoDur
1022079,QUEST DIAGNOSTICS INC,2006,20061231,2007-03-01,0000930413-07-001855,10-K,True,False,False,275.0,262.0,5.572154032177765,19.0,0.0,2008995.0,0.3703953147495264,0.08633444115528273,3,13,0.04727272727272727,0.11061946902654868,-0.004424778761061947,0.02654867256637168,0.06887052341597796,0.004424778761061947,0.01652892561983471,0,0,0,363,226,8071,Hlth
1377013,TIME WARNER CABLE INC.,2006,20061231,2007-02-23,0000950144-07-001551,10-K,True,False,False,455.0,447.0,6.104793232414985,46.0,0.0,2154218.0,0.3759094357097388,0.11808014921822722,3,8,0.017582417582417582,0.1794871794871795,-0.019230769230769232,0.01282051282051282,0.1037037037037037,0.0,0.007407407407407408,0,0,0,270,156,4841,Telcm
104889,WASHINGTON POST CO,2006,20061231,2007-03-01,0000950133-07-000873,10-K,True,False,False,45.0,45.0,3.828641396489095,1.0,0.0,1476623.0,0.0,0.0,3,0,0.0,,,,,,,0,0,0,0,0,8200,Other
1365135,Western Union CO,2006,20061231,2007-02-27,0001193125-07-040314,10-K,True,False,False,347.0,337.0,5.823045895483019,32.0,0.0,1715265.0,0.44109629513187804,0.18142053569395236,3,10,0.02881844380403458,0.2345679012345679,-0.012345679012345678,0.04938271604938271,0.1357142857142857,0.0,0.02857142857142857,1,1,0,280,162,7389,Other
1322739,"EASTON-BELL SPORTS, INC.",2006,20061230,2007-04-09,0000950134-07-007740,10-K,False,False,False,205.0,205.0,5.327876168789581,26.0,0.0,1544977.0,0.0,0.0,3,0,0.0,,,,,,,0,0,0,0,0,3949,NoDur
1336920,"SAIC, Inc.",2006,20070131,2007-04-12,0001193125-07-079805,10-K,True,False,False,455.0,442.0,6.093569770045136,47.0,1.0,1558564.0,0.3931653701881865,0.13576795472287276,3,13,0.02857142857142857,0.26436781609195403,-0.0,0.08620689655172414,0.1373134328358209,0.0,0.04477611940298507,1,1,1,335,174,7373,BusEq
1358651,"Neiman Marcus, Inc.",2007,20070728,2007-09-26,0001104659-07-071165,10-K,False,False,False,196.0,196.0,5.2832037287379885,29.0,0.0,6386582.0,0.0,0.0,9,0,0.0,,,,,,,0,0,0,0,0,5311,Shops
812128,SANDERSON FARMS INC,2007,20071031,2007-12-21,0000950144-07-011259,10-K,True,False,False,122.0,122.0,4.812184355372417,18.0,0.0,718317.0,0.0,0.0,10,0,0.0,,,,,,,0,0,0,0,0,2015,NoDur
1158449,ADVANCE AUTO PARTS INC,2007,20071229,2008-02-27,0001158449-08-000043,10-K,True,False,False,117.0,117.0,4.770684624465665,12.0,0.0,4046393.0,0.0,0.0,9,0,0.0,,,,,,,0,0,0,0,0,5531,Shops
350698,AUTONATION INC /FL,2007,20071231,2008-02-28,0000950144-08-001449,10-K,True,False,False,146.0,146.0,4.990432586778736,18.0,0.0,1532233.0,0.0,0.0,9,0,0.0,,,,,,,0,0,0,0,0,5500,Shops
701221,CIGNA CORP,2007,20071231,2008-02-29,0000950159-08-000407,10-K,True,False,False,203.0,199.0,5.298317366548036,27.0,0.0,7232256.0,0.42974500491183165,0.1689273322298464,9,4,0.019704433497536946,0.2413793103448276,-0.0,0.05172413793103448,0.14736842105263157,0.0,0.031578947368421054,0,0,0,95,58,6324,Money
715957,DOMINION RESOURCES INC /VA/,2007,20071231,2008-02-28,0001193125-08-041046,10-K,True,False,False,127.0,127.0,4.852030263919617,21.0,0.0,3059334.0,0.0,0.0,9,0,0.0,,,,,,,0,0,0,0,0,4911,Utils
36047,FIRST AMERICAN CORP,2007,20071231,2008-02-29,0001193125-08-043818,10-K,True,False,False,138.0,138.0,4.9344739331306915,33.0,0.0,2422771.0,0.0,0.0,9,0,0.0,,,,,,,0,0,0,0,0,7374,BusEq
1144354,HEARTLAND PAYMENT SYSTEMS INC,2007,20071231,2008-03-10,0001193125-08-051380,10-K,True,False,False,239.0,227.0,5.429345628954441,34.0,0.0,1992777.0,0.33990815663283236,0.17575854556569268,9,12,0.0502092050209205,0.24817518248175183,-0.0,0.051094890510948905,0.13765182186234817,0.0,0.02834008097165992,0,0,0,247,137,7389,Other
1043604,JUNIPER NETWORKS INC,2007,20071231,2008-02-29,0000950134-08-003762,10-K,True,False,False,307.0,306.0,5.726847747587197,41.0,1.0,2030839.0,0.07641578603125959,0.03426388960601512,9,1,0.003257328990228013,0.125,-0.0625,0.0,0.09375,0.0,0.0,0,0,0,32,16,3576,BusEq
1120193,NASDAQ STOCK MARKET INC,2007,20071231,2008-02-25,0001193125-08-037364,10-K,True,False,False,483.0,474.0,6.163314804034641,42.0,1.0,2389009.0,0.4736498872721029,0.19835736070969615,9,9,0.018633540372670808,0.2152777777777778,-0.020833333333333332,0.006944444444444444,0.124,0.0,0.004,0,0,0,250,144,6200,Money
1126328,PRINCIPAL FINANCIAL GROUP INC,2007,20071231,2008-02-27,0001047469-08-001808,10-K,True,False,False,304.0,298.0,5.700443573390687,33.0,0.0,3815480.0,0.4706570295997097,0.15067700298930573,9,6,0.019736842105263157,0.19801980198019803,-0.0,0.0594059405940594,0.12048192771084337,0.0,0.03614457831325301,0,0,0,166,101,6321,Money
791519,STAPLES INC,2007,20080202,2008-03-04,0001047469-08-002179,10-K,True,False,False,105.0,100.0,4.61512051684126,15.0,0.0,1510316.0,0.3358550334081634,0.1334720593089795,9,5,0.047619047619047616,0.12643678160919541,-0.0,0.034482758620689655,0.07006369426751592,0.0,0.01910828025477707,0,0,0,157,87,5940,Shops
1336917,"Under Armour, Inc.",2007,20071231,2008-02-22,0001193125-08-035854,10-K,True,False,False,298.0,296.0,5.6937321388027,32.0,0.0,1714547.0,0.40003190531838406,0.12029073089090968,9,2,0.006711409395973154,0.1836734693877551,-0.02040816326530612,0.061224489795918366,0.09782608695652174,0.0,0.03260869565217391,0,0,0,92,49,2300,NoDur
106535,WEYERHAEUSER CO,2007,20071230,2008-02-28,0001193125-08-042058,10-K,True,False,False,19.0,19.0,2.995732273553991,0.0,0.0,10268692.0,0.0,0.0,9,0,0.0,,,,,,,0,0,0,0,0,6798,Money
885245,BUCKLE INC,2007,20080202,2008-04-16,0001144204-08-022759,10-K,True,False,False,88.0,88.0,4.48863636973214,12.0,0.0,6586428.0,0.0,0.0,10,0,0.0,,,,,,,0,0,0,0,0,5651,Shops
740670,MICHAELS STORES INC,2007,20080202,2008-04-04,0001104659-08-022452,10-K,False,False,False,142.0,141.0,4.955827057601261,23.0,0.0,3675435.0,0.09972725152030822,0.047008096171988416,10,1,0.007042253521126761,0.0625,-0.0,0.0,0.03225806451612903,0.0,0.0,0,0,0,31,16,5945,Shops
900075,COPART INC,2008,20080731,2008-09-29,0001047469-08-010447,10-K,True,False,False,367.0,367.0,5.908082938168931,50.0,0.0,1104379.0,0.0,0.0,5,0,0.0,,,,,,,0,0,0,0,0,5500,Shops
771497,ABM INDUSTRIES INC /DE/,2008,20081031,2008-12-22,0000950123-08-018152,10-K,True,False,False,181.0,181.0,5.204006687076795,24.0,0.0,1523543.0,0.0,0.0,4,0,0.0,,,,,,,0,0,0,0,0,7340,Other
865436,WHOLE FOODS MARKET INC,2008,20080928,2008-11-26,0001104659-08-073613,10-K,False,False,False,178.0,175.0,5.170483995038151,30.0,1.0,2493525.0,0.3199986294576128,0.13968253968253969,4,3,0.016853932584269662,0.3,-0.0,0.06666666666666667,0.1651376146788991,0.0,0.03669724770642202,0,0,0,109,60,5411,Shops
4962,AMERICAN EXPRESS CO,2008,20081231,2009-02-27,0001193125-09-041008,10-K,True,False,False,349.0,342.0,5.8377304471659395,28.0,1.0,4456586.0,0.23901074948358417,0.11324205629439577,7,7,0.02005730659025788,0.08029197080291971,-0.0072992700729927005,0.08029197080291971,0.044,0.0,0.044,0,0,0,250,137,6199,Money
1046568,CAREER EDUCATION CORP,2008,20081231,2009-02-20,0001193125-09-034169,10-K,False,False,False,306.0,298.0,5.700443573390687,39.0,0.0,1837478.0,0.38244158761145125,0.15479703734788008,6,8,0.026143790849673203,0.1791044776119403,-0.0,0.07462686567164178,0.1087866108786611,0.0,0.04184100418410042,0,0,0,239,134,8200,Other
1051470,CROWN CASTLE INTERNATIONAL CORP,2008,20081231,2009-02-26,0001193125-09-039126,10-K,True,False,False,211.0,211.0,5.356586274672012,25.0,0.0,1949917.0,0.0,0.0,5,0,0.0,,,,,,,0,0,0,0,0,6798,Money
1015780,E TRADE FINANCIAL CORP,2008,20081231,2009-02-26,0001193125-09-039144,10-K,True,False,False,257.0,249.0,5.521460917862246,32.0,0.0,3941675.0,0.4024406673286672,0.14050216238378582,5,8,0.0311284046692607,0.1981981981981982,-0.009009009009009009,0.04504504504504504,0.10328638497652583,0.0,0.023474178403755867,0,0,0,213,111,6035,Money
886982,GOLDMAN SACHS GROUP INC,2008,20081128,2009-01-27,0000950123-09-001278,10-K,True,False,False,316.0,310.0,5.739792912179234,26.0,0.0,,0.27140207540865485,0.14628930817610064,5,6,0.0189873417721519,0.11428571428571428,-0.007142857142857143,0.02857142857142857,0.06227106227106227,0.0,0.014652014652014652,1,1,0,273,140,6211,Money
50863,INTEL CORP,2008,20081227,2009-02-23,0000891618-09-000047,10-K,True,False,False,219.0,219.0,5.393627546352362,23.0,0.0,2117616.0,0.0,0.0,5,0,0.0,,,,,,,0,0,0,0,0,3674,BusEq
1397911,LPL Investment Holdings Inc.,2008,20081231,2009-03-24,0001047469-09-003050,10-K,False,False,False,190.0,186.0,5.231108616854587,28.0,0.0,1478252.0,0.3291438159148991,0.13078010723760372,6,4,0.021052631578947368,0.25,-0.022727272727272728,0.045454545454545456,0.15853658536585366,0.0,0.024390243902439025,0,0,0,82,44,6200,Money
12978,OFFICEMAX INC,2008,20081227,2009-02-25,0001047469-09-001823,10-K,True,False,False,150.0,146.0,4.990432586778736,19.0,0.0,1743074.0,0.32928171567143516,0.14708614448495155,5,4,0.02666666666666667,0.14705882352941177,-0.0,0.029411764705882353,0.08064516129032258,0.0,0.016129032258064516,0,0,0,124,68,5110,Shops
1107694,"RACKSPACE HOSTING, INC.",2008,20081231,2009-03-02,0001193125-09-041402,10-K,True,False,False,1.0,1.0,0.6931471805599453,0.0,0.0,1632567.0,0.0,0.0,7,0,0.0,,,,,,,0,0,0,0,0,7370,BusEq
1430602,"Scripps Networks Interactive, Inc.",2008,20081231,2009-03-05,0001193125-09-046284,10-K,True,False,False,273.0,268.0,5.594711379601839,45.0,0.0,1565752.0,0.259333937517162,0.11543039019080652,7,5,0.018315018315018316,0.06666666666666667,-0.016666666666666666,0.03333333333333333,0.044444444444444446,0.0,0.022222222222222223,0,0,0,90,60,4841,Telcm
1014473,VERISIGN INC/CA,2008,20081231,2009-03-03,0001193125-09-043713,10-K,True,False,False,616.0,594.0,6.38856140554563,53.0,1.0,2796034.0,0.3720802734112643,0.13030114581392147,7,22,0.03571428571428571,0.11805555555555555,-0.013888888888888888,0.006944444444444444,0.0641025641025641,0.0,0.003663003663003663,1,1,0,546,288,7371,BusEq
72971,WELLS FARGO & CO/MN,2008,20081231,2009-02-27,0000950134-09-003967,10-K,True,False,False,3.0,3.0,1.3862943611198906,1.0,0.0,3790805.0,0.0,0.0,7,0,0.0,,,,,,,0,0,0,0,0,6021,Money
886158,BED BATH & BEYOND INC,2008,20090228,2009-04-28,0001104659-09-026769,10-K,True,False,False,58.0,58.0,4.07753744390572,9.0,0.0,1869108.0,0.0,0.0,8,0,0.0,,,,,,,0,0,0,0,0,5700,Shops
64670,MEDTRONIC INC,2008,20090424,2009-06-23,0000897101-09-001266,10-K,True,False,False,199.0,199.0,5.298317366548036,18.0,1.0,2235128.0,0.0,0.0,5,0,0.0,,,,,,,0,0,0,0,0,3845,Hlth
1316644,"AeroGrow International, Inc.",2008,20090331,2009-07-06,0001185185-09-000634,10-K,False,False,False,193.0,193.0,5.267858159063328,38.0,1.0,3332219.0,0.0,0.0,5,0,0.0,,,,,,,0,0,0,0,0,5200,Shops
868857,AECOM TECHNOLOGY CORP,2009,20090930,2009-11-27,0001047469-09-010452,10-K,True,True,False,212.0,210.0,5.351858133476067,35.0,0.0,1987890.0,0.311978315693141,0.11408618279958553,4,2,0.009433962264150943,0.2894736842105263,-0.0,0.02631578947368421,0.1746031746031746,0.0,0.015873015873015872,0,0,0,63,38,8711,Other
1312073,"VeriFone Holdings, Inc.",2009,20091031,2009-12-22,0001193125-09-257969,10-K,True,False,False,557.0,547.0,6.306275286948016,51.0,0.0,1745551.0,0.3885241225628384,0.142095941556773,4,10,0.017953321364452424,0.1610738255033557,-0.0,0.03355704697986577,0.08710801393728224,0.0,0.017421602787456445,0,0,0,287,149,3578,BusEq
896262,AMEDISYS INC,2009,20091231,2010-02-23,0001193125-10-037640,10-K,True,False,False,420.0,408.0,6.013715156042802,52.0,1.0,4318295.0,0.4206793570926893,0.1271450164488308,2,12,0.02857142857142857,0.20304568527918782,-0.01015228426395939,0.06598984771573604,0.112,0.0,0.034666666666666665,0,0,0,375,197,8082,Hlth
885725,BOSTON SCIENTIFIC CORP,2009,20091231,2010-02-26,0000950123-10-017254,10-K,True,False,False,316.0,316.0,5.75890177387728,37.0,1.0,4687778.0,0.0,0.0,2,0,0.0,,,,,,,0,0,0,0,0,3841,Hlth
1166691,COMCAST CORP,2009,20091231,2010-02-23,0001193125-10-037551,10-K,True,False,False,104.0,99.0,4.605170185988092,12.0,0.0,7808202.0,0.3320189821293336,0.10562187791042249,2,5,0.04807692307692308,0.22549019607843138,-0.0,0.029411764705882353,0.12921348314606743,0.0,0.016853932584269662,0,0,0,178,102,4841,Telcm
715957,DOMINION RESOURCES INC /VA/,2009,20091231,2010-02-26,0001193125-10-042883,10-K,True,False,False,161.0,161.0,5.087596335232384,23.0,0.0,11921324.0,0.0,0.0,2,0,0.0,,,,,,,0,0,0,0,0,4911,Utils
710507,"FIRST BANKS, INC",2009,20091231,2010-03-25,0001445116-10-000011,10-K,True,False,False,274.0,269.0,5.598421958998375,40.0,0.0,7687055.0,0.41675775903394524,0.15586647029946,2,5,0.01824817518248175,0.3150684931506849,-0.0273972602739726,0.0958904109589041,0.16546762589928057,0.0,0.050359712230215826,0,0,0,139,73,6022,Money
1053352,HERITAGE COMMERCE CORP,2009,20091231,2010-03-17,0001047469-10-002324,10-K,True,False,False,435.0,422.0,6.0473721790462776,48.0,0.0,2875321.0,0.4798970758172607,0.14359152610588707,2,13,0.029885057471264367,0.20920502092050208,-0.02510460251046025,0.04602510460251046,0.11832946635730858,0.0,0.025522041763341066,0,0,0,431,239,6022,Money
19617,J P MORGAN CHASE & CO,2009,20091231,2010-02-24,0000950123-10-016029,10-K,True,False,False,225.0,216.0,5.37989735354046,22.0,0.0,,0.3014879288103042,0.10432318652849741,2,9,0.04,0.11737089201877934,-0.009389671361502348,0.06103286384976526,0.06345177664974619,0.0,0.03299492385786802,1,1,0,394,213,6021,Money
740670,MICHAELS STORES INC,2009,20100130,2010-03-31,0001104659-10-017435,10-K,False,False,False,173.0,172.0,5.153291594497779,26.0,0.0,3525037.0,0.030743773095067282,0.024390243902439025,1,1,0.005780346820809248,0.05263157894736842,-0.0,0.0,0.02631578947368421,0.0,0.0,0,0,0,38,19,5945,Shops
1123541,PENSON WORLDWIDE INC,2009,20091231,2010-03-05,0000950123-10-021612,10-K,True,False,False,434.0,428.0,6.061456918928017,50.0,1.0,2525519.0,0.37657621711611744,0.11270890011659541,2,6,0.013824884792626729,0.25742574257425743,-0.04950495049504951,0.039603960396039604,0.14835164835164835,0.0,0.02197802197802198,0,0,0,182,101,6211,Money
1050606,SALEM COMMUNICATIONS CORP /DE/,2009,20091231,2010-03-12,0001050606-10-000014,10-K,True,False,False,317.0,317.0,5.762051382780177,36.0,0.0,1953991.0,0.0,0.0,2,0,0.0,,,,,,,0,0,0,0,0,4832,Telcm
1005414,TOYS R US INC,2009,20100130,2010-03-24,0001193125-10-065825,10-K,False,False,False,252.0,246.0,5.5093883366279774,30.0,0.0,3347951.0,0.35742366077403587,0.15144167758846658,2,6,0.023809523809523808,0.17333333333333334,-0.0,0.04,0.1037037037037037,0.0,0.022222222222222223,0,0,0,135,75,5945,Shops
1095291,"WEB.COM GROUP, INC.",2009,20091231,2010-03-05,0001144204-10-011802,10-K,True,False,False,265.0,261.0,5.568344503761097,29.0,1.0,2477141.0,0.2515138002309315,0.13282160901671203,2,4,0.01509433962264151,0.16455696202531644,-0.02531645569620253,0.012658227848101266,0.0967741935483871,0.0,0.0064516129032258064,0,0,0,155,79,7372,BusEq
1365135,Western Union CO,2009,20091231,2010-02-26,0000950123-10-018216,10-K,True,False,False,396.0,381.0,5.945420608606575,26.0,0.0,6597296.0,0.42525707720292427,0.13506445672191528,2,15,0.03787878787878788,0.19591836734693877,-0.02040816326530612,0.061224489795918366,0.10983981693363844,0.0,0.034324942791762014,1,1,0,437,245,7389,Other
56679,KORN FERRY INTERNATIONAL,2009,20100430,2010-06-29,0000950123-10-062331,10-K,True,False,False,112.0,112.0,4.727387818712341,20.0,0.0,1340314.0,0.0,0.0,6,0,0.0,,,,,,,0,0,0,0,0,7361,Other
14195,BRIGGS & STRATTON CORP,2010,20100627,2010-08-26,0001193125-10-198187,10-K,True,False,False,176.0,176.0,5.176149732573829,24.0,0.0,1958514.0,0.0,0.0,8,0,0.0,,,,,,,0,0,0,0,0,3510,Manuf
320193,APPLE INC,2010,20100925,2010-10-27,0001193125-10-238044,10-K,True,False,False,271.0,268.0,5.594711379601839,32.0,0.0,13856661.0,0.38528610048550765,0.15545762607325858,7,3,0.01107011070110701,0.20833333333333334,-0.0,0.03125,0.13513513513513514,0.0,0.02027027027027027,0,0,0,148,96,3571,BusEq
865436,WHOLE FOODS MARKET INC,2010,20100926,2010-11-24,0001104659-10-059917,10-K,True,False,False,152.0,149.0,5.0106352940962555,26.0,1.0,16202542.0,0.4640591014827635,0.20528996697578433,8,3,0.019736842105263157,0.3,-0.0,0.06666666666666667,0.16666666666666666,0.0,0.037037037037037035,0,0,0,108,60,5411,Shops
4962,AMERICAN EXPRESS CO,2010,20101231,2011-02-28,0000950123-11-019072,10-K,True,False,False,450.0,434.0,6.075346031088684,37.0,1.0,36969563.0,0.33798917579729465,0.1203598501427457,9,16,0.035555555555555556,0.08093994778067885,-0.007832898172323759,0.07571801566579635,0.04633781763826607,0.0,0.043348281016442454,0,0,0,669,383,6199,Money
14930,BRUNSWICK CORP,2010,20101231,2011-02-18,0000014930-11-000033,10-K,False,False,False,238.0,238.0,5.476463551931511,36.0,1.0,4070587.0,0.0,0.0,9,0,0.0,,,,,,,0,0,0,0,0,3510,Manuf
1108109,COMMUNITY HEALTH SYSTEMS INC,2010,20101231,2011-02-25,0000950123-11-018885,10-K,True,False,False,258.0,258.0,5.556828061699537,27.0,0.0,9909444.0,0.0,0.0,10,0,0.0,,,,,,,0,0,0,0,0,8062,Hlth
715957,DOMINION RESOURCES INC /VA/,2010,20101231,2011-02-28,0001193125-11-049905,10-K,True,False,False,167.0,165.0,5.111987788356544,26.0,0.0,37049218.0,0.2248899833250651,0.0880082826507935,9,2,0.011976047904191617,0.175,-0.025,0.0,0.09859154929577464,0.0,0.0,1,1,0,71,40,4911,Utils
1331875,"Fidelity National Financial, Inc.",2010,20101231,2011-02-23,0000950123-11-017206,10-K,True,False,False,167.0,167.0,5.123963979403259,19.0,1.0,7610737.0,0.0,0.0,9,0,0.0,,,,,,,0,0,0,0,0,6361,Money
4447,HESS CORP,2010,20101231,2011-02-25,0000950123-11-018415,10-K,True,False,False,4079.0,4079.0,8.313852267398207,858.0,0.0,18755088.0,0.0,0.0,10,0,0.0,,,,,,,0,0,0,0,0,2911,Enrgy
1043604,JUNIPER NETWORKS INC,2010,20101231,2011-02-25,0001445305-11-000332,10-K,True,True,False,310.0,309.0,5.736572297479192,39.0,1.0,29739129.0,0.059214434476896595,0.019735102836645747,10,1,0.0032258064516129032,0.125,-0.0625,0.0,0.09375,0.0,0.0,0,0,0,32,16,3576,BusEq
